corr_type,instance_file,obj_value,runtime
not-correlated,id_6_objs_500_size_775_sets_89_maxNumConflicts_10_maxCost_20_not-correlated.txt,2557.0,0.35
not-correlated,id_6_objs_700_size_1085_sets_84_maxNumConflicts_14_maxCost_20_not-correlated.txt,3656.0,1.85
not-correlated,id_6_objs_800_size_1240_sets_88_maxNumConflicts_16_maxCost_20_not-correlated.txt,4204.0,3.11
not-correlated,id_7_objs_1000_size_1550_sets_87_maxNumConflicts_20_maxCost_20_not-correlated.txt,5311.0,7.97
not-correlated,id_7_objs_300_size_465_sets_73_maxNumConflicts_6_maxCost_20_not-correlated.txt,1561.0,0.08
not-correlated,id_7_objs_500_size_775_sets_75_maxNumConflicts_10_maxCost_20_not-correlated.txt,2738.0,0.51
not-correlated,id_7_objs_700_size_1085_sets_86_maxNumConflicts_14_maxCost_20_not-correlated.txt,3706.0,2.14
not-correlated,id_7_objs_800_size_1240_sets_89_maxNumConflicts_16_maxCost_20_not-correlated.txt,4030.0,3.45
not-correlated,id_8_objs_1000_size_1550_sets_86_maxNumConflicts_20_maxCost_20_not-correlated.txt,5337.0,8.11
not-correlated,id_8_objs_300_size_465_sets_77_maxNumConflicts_6_maxCost_20_not-correlated.txt,1591.0,0.06
not-correlated,id_8_objs_500_size_775_sets_75_maxNumConflicts_10_maxCost_20_not-correlated.txt,2688.0,0.56
not-correlated,id_8_objs_700_size_1085_sets_84_maxNumConflicts_14_maxCost_20_not-correlated.txt,3942.0,1.87
not-correlated,id_8_objs_800_size_1240_sets_88_maxNumConflicts_16_maxCost_20_not-correlated.txt,4176.0,3.76
not-correlated,id_9_objs_1000_size_1550_sets_85_maxNumConflicts_20_maxCost_20_not-correlated.txt,5163.0,8.18
not-correlated,id_9_objs_300_size_465_sets_72_maxNumConflicts_6_maxCost_20_not-correlated.txt,1600.0,0.06
not-correlated,id_9_objs_500_size_775_sets_87_maxNumConflicts_10_maxCost_20_not-correlated.txt,2506.0,0.43
not-correlated,id_9_objs_700_size_1085_sets_93_maxNumConflicts_14_maxCost_20_not-correlated.txt,3658.0,1.79
not-correlated,id_9_objs_800_size_1240_sets_93_maxNumConflicts_16_maxCost_20_not-correlated.txt,4069.0,3.15
